Setting,MSE,MAE
lt_electricity_720_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.12854760885238647,0.22633112967014313
lt_electricity_720_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.14777176082134247,0.24487245082855225
lt_electricity_720_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.15872888267040253,0.25868138670921326
lt_electricity_720_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.17779192328453064,0.2775622010231018
lt_traffic_720_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.3657502830028534,0.2644164562225342
lt_traffic_720_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.37227708101272583,0.2695535123348236
lt_traffic_720_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.3851722478866577,0.2772177457809448
lt_traffic_720_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.4337444603443146,0.306914746761322
lt_weather_720_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.16450585424900055,0.21836206316947937
lt_weather_720_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.2046968787908554,0.2537534236907959
lt_weather_720_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.2537596821784973,0.2917744815349579
lt_weather_720_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.3170701861381531,0.33734676241874695
lt_ETTh1_720_96iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl96_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.4178515672683716,0.43492478132247925
lt_ETTh1_720_192iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl192_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.40718957781791687,0.43190819025039673
lt_ETTh1_720_336iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl336_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.4597235321998596,0.46979501843452454
lt_ETTh1_720_720iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl720_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.632788896560669,0.5738826394081116
lt_ETTh2_720_96iTransformer_iTransformer_ETTh2_ftM_sl720_ll168_pl96_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.30945295095443726,0.3680751621723175
lt_ETTh2_720_192iTransformer_iTransformer_ETTh2_ftM_sl720_ll168_pl192_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.3652288615703583,0.3993898630142212
lt_ETTh2_720_336iTransformer_iTransformer_ETTh2_ftM_sl720_ll168_pl336_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.37920716404914856,0.41684964299201965
lt_ETTh2_720_720iTransformer_iTransformer_ETTh2_ftM_sl720_ll168_pl720_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.5_0,0.39253225922584534,0.43723174929618835
