Setting,MSE,MAE
lt_ETTh1_336_336iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl336_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.43801990151405334,0.45543172955513
lt_ETTh1_336_720iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl720_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.5120846033096313,0.515051007270813
lt_ETTh2_336_96iTransformer_iTransformer_ETTh2_ftM_sl720_ll168_pl96_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.29971614480018616,0.3631713092327118
lt_ETTh2_336_192iTransformer_iTransformer_ETTh2_ftM_sl720_ll168_pl192_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.36002421379089355,0.40587756037712097
lt_ETTh2_336_336iTransformer_iTransformer_ETTh2_ftM_sl720_ll168_pl336_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.38749995827674866,0.43381527066230774
lt_ETTh2_336_720iTransformer_iTransformer_ETTh2_ftM_sl720_ll168_pl720_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.42921143770217896,0.46996402740478516
lt_ETTm1_336_96iTransformer_iTransformer_ETTm1_ftM_sl720_ll168_pl96_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.3066604435443878,0.3619222939014435
lt_ETTm1_336_192iTransformer_iTransformer_ETTm1_ftM_sl720_ll168_pl192_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.34674644470214844,0.38577303290367126
lt_ETTm1_336_336iTransformer_iTransformer_ETTm1_ftM_sl720_ll168_pl336_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.38397160172462463,0.4117642045021057
lt_ETTm1_336_720iTransformer_iTransformer_ETTm1_ftM_sl720_ll168_pl720_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.4292568564414978,0.4353480935096741
lt_ETTm2_336_96iTransformer_iTransformer_ETTm2_ftM_sl720_ll168_pl96_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.1673218309879303,0.2616701126098633
lt_ETTm2_336_192iTransformer_iTransformer_ETTm2_ftM_sl720_ll168_pl192_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.22620519995689392,0.3036681115627289
lt_ETTm2_336_336iTransformer_iTransformer_ETTm2_ftM_sl720_ll168_pl336_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.2763941287994385,0.3379446268081665
lt_ETTm2_336_720iTransformer_iTransformer_ETTm2_ftM_sl720_ll168_pl720_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.35790443420410156,0.3910452425479889
lt_electricity_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.13228970766067505,0.2325676828622818
lt_electricity_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.1536109447479248,0.2544792890548706
lt_electricity_336_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.15931175649166107,0.2630046308040619
lt_electricity_336_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.18585972487926483,0.29094937443733215
lt_traffic_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.7066538333892822,0.485220730304718
lt_traffic_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.7359528541564941,0.4910198748111725
lt_traffic_336_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.9342715740203857,0.5932820439338684
lt_traffic_336_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.8207939267158508,0.522419810295105
lt_weather_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.16808533668518066,0.23153381049633026
lt_weather_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.20888911187648773,0.265569269657135
lt_weather_336_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.27711713314056396,0.3460809886455536
lt_weather_336_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.3222253620624542,0.36166536808013916
lt_ETTh1_336_96iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl96_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.38484257459640503,0.4193149507045746
lt_ETTh1_336_192iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl192_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn0_stl0.0001_um0_0,0.4188229441642761,0.4418656826019287
